Name,New Code,GCSE_Score,Density,Eng_HH,Lone_Parent,House_Price,Income,Qual_Level4,Out_Work_Fam,Absence,Crime,Bad_Health,Happiness,Green_Space,PTAL,Cars_HH,Deprivation
Enfield Lock,E05000199,303.4353659,5015.151515,5441,1480,217250.0,37780.0,23.5,27.54385965,2.241090555,66.27462511,5.5,7.1,39.56478702,2.581623404,0.914466403,30.83182579
Grange,E05000200,364.4894737,3878.787879,4918,454,360000.0,58640.0,39.1,7.592592593,0.858053966,62.52835324,4.1,7.236111111,27.40805744,3.111468395,1.305291207,10.12131165
Haselbury,E05000201,307.4738197,9083.333333,4530,1265,260000.0,37020.0,21.4,23.75,2.132065814,65.18732335,6.3,7.774193548,26.96491225,3.030073732,0.848959229,32.85391226
Highlands,E05000202,346.9764286,2558.823529,5222,506,375000.0,55140.0,35.1,11.85185185,0.910243902,45.25590697,4.6,7.758078231,56.36166354,2.707157819,1.248505705,14.62971475
Jubilee,E05000203,310.3554404,3705.128205,4437,957,250000.0,38450.0,20.9,23.58024691,1.528530729,60.87607128,6.5,7.516666667,60.63431069,2.473449432,0.965743167,30.22956338
Lower Edmonton,E05000204,303.9780822,7545.454545,4897,1488,248000.0,35300.0,20.0,25.17857143,2.163450292,55.81284883,6.4,7.417574108,40.60504343,3.228453307,0.722970753,36.32599327
Palmers Green,E05000205,336.5110236,8026.315789,4743,677,353500.0,47480.0,33.5,13.52941176,1.041093574,68.49489796,5.5,7.609615385,15.40733482,2.535936755,1.020203764,22.93093281
Ponders End,E05000206,313.5278027,4500.0,4603,1212,248000.0,35810.0,21.0,21.98019802,1.582415959,74.58729967,5.9,7.285714286,44.5002053,3.326026914,0.818133803,35.67668065
Southbury,E05000207,327.2457447,5034.482759,4858,1051,265000.0,41440.0,25.4,21.08695652,1.512873862,102.1814775,5.1,7.316176471,29.259184,3.066652967,0.913059228,29.32364218
Southgate,E05000208,360.5901408,5370.37037,5218,700,347500.0,52310.0,41.2,11.15942029,0.812224109,63.93277311,4.7,7.920007802,27.14909012,3.142023072,1.075647318,13.13576206
Southgate Green,E05000209,348.4811966,5326.923077,4431,614,500000.0,54020.0,40.0,10.6557377,0.903057905,53.12390925,4.7,7.236111111,20.63723877,3.889899695,1.137369034,19.0489434
Town,E05000210,327.94375,6818.181818,5775,660,350000.0,53390.0,33.0,11.11111111,1.0,50.10807624,4.1,7.75170765,16.03976446,2.5584276,1.169730088,12.90192646
Turkey Street,E05000211,306.4853081,6282.608696,4578,1206,250000.0,36270.0,17.9,27.44444444,2.011227255,80.82859464,6.2,7.156339031,30.49642506,2.490118594,0.992867868,34.38395358
Upper Edmonton,E05000212,290.8079295,6462.962963,4810,1456,250000.0,35720.0,21.5,24.18181818,2.003893866,124.3969298,6.4,7.85279967,17.55102794,3.403512614,0.761652202,39.75763294
Winchmore Hill,E05000213,350.9736,4821.428571,4914,490,435000.0,58520.0,42.9,7.24137931,0.711769115,49.76027895,4.0,7.75,25.17214279,2.943532078,1.182464012,14.51703722
Abbey Wood,E05000214,301.1487805,5833.333333,5509,1177,250000.0,39630.0,24.2,23.03030303,1.200871143,78.25808517,6.3,8.327772556,43.96546853,3.066134612,0.730214621,37.9348754
Blackheath Westcombe,E05000215,327.412766,6166.666667,5761,394,427500.0,63690.0,57.5,10.57692308,1.223903819,69.8652543,4.4,7.554347826,15.43269776,3.425645527,0.826666667,22.4555928
Charlton,E05000216,316.1527778,7225.0,5201,868,363000.0,47740.0,37.2,18.48101266,1.434559643,53.82176823,6.1,7.569672131,31.54619089,4.02930493,0.705697857,33.99128167
Coldharbour and New Eltham,E05000217,319.4644295,5240.0,4990,596,325000.0,48340.0,23.4,14.65517241,0.84552139,49.86574607,5.8,7.982954545,20.02845863,2.867917014,1.149565217,22.69677038
Eltham North,E05000218,339.044186,4826.923077,4963,467,345000.0,54840.0,31.8,8.363636364,0.720939597,59.36474918,4.9,7.846795564,24.57786807,2.884989902,1.097489784,16.06318298
Eltham South,E05000219,352.4731092,2739.130435,4834,590,288750.0,46660.0,25.1,18.97959184,1.0719894112612183,75.518145,4.9,7.821038588,54.61881967,3.340033238,0.975527926,24.71457077
Eltham West,E05000220,310.888961,4354.166667,3572,687,315500.0,42970.0,21.2,23.58490566,1.550726552,55.88680253,7.3,7.890625,30.49214575,3.05843072,0.919811321,37.58109884
Glyndon,E05000221,317.4898477,10735.29412,5811,1137,224995.0,39810.0,28.6,21.68316832,1.755232558,56.97719797,5.7,8.0,32.57428694,3.995407262,0.611300608,39.7929978
